depression_rate,corruption_score,average_temperature,gini,unemployment_rate,family_avg_size,Public services index,democracy_score,crime index,litracy_rate,gender_equality,education,health
4.8,36.0,12.47,33.2,11.7,3.3,4.1,6.08,5.63,97.553902,0.77,0.999,0.956
3.6,33.0,21.77,51.3,9.6,4.82,9.1,3.66,5.29,71.164162,0.657,0.759,0.976
4.7,38.0,15.1,42.9,11.5,3.26,4.5,6.95,4.38,98.089973,0.752,1.0,0.977
5.0,46.0,7.86,29.9,18.3,3.54,3.6,5.35,3.26,99.768417,0.673,0.998,0.95
5.9,75.0,22.05,34.4,6.5,2.55,2.5,8.96,4.0,99.0,0.731,1.0,0.968
5.1,71.0,7.43,30.8,5.4,2.88,2.0,8.16,4.04,98.0,0.777,1.0,0.97
4.6,23.0,13.37,26.6,4.8,4.55,5.2,2.68,5.08,99.80526,0.688,0.996,0.939
4.1,25.0,25.69,32.4,4.4,4.47,7.8,5.99,4.98,61.493832,0.719,0.951,0.962
5.6,39.0,7.45,25.3,4.1,2.48,3.0,2.59,5.08,99.722038,0.758,0.999,0.977
3.9,43.0,28.03,47.8,1.5,5.19,8.4,4.58,5.25,38.44714,0.653,0.733,0.973
4.4,31.0,20.78,41.6,7.9,3.53,6.6,5.08,4.3,95.141922,0.722,0.981,0.962
4.7,60.0,22.09,53.3,24.9,3.52,6.6,7.62,3.71,88.224411,0.716,1.0,0.98
5.8,38.0,25.45,53.4,13.7,3.31,7.5,6.92,6.5,92.586807,0.695,1.0,0.98
5.2,43.0,11.37,41.3,5.1,2.34,4.2,6.71,5.43,98.38858,0.746,0.991,0.979
3.6,42.0,29.26,35.3,4.7,5.92,8.8,3.73,5.49,37.7467,0.651,0.873,0.978
3.9,26.0,24.81,46.6,3.5,4.99,8.3,2.77,6.31,74.98558,0.692,0.885,0.973
4.7,74.0,-4.06,33.3,9.5,2.45,2.0,9.24,3.66,99.0,0.772,1.0,0.968
3.5,19.0,27.65,43.3,1.1,5.78,9.7,1.55,5.86,40.018242,0.593,0.589,0.97
5.0,67.0,9.49,44.4,11.2,3.58,4.2,8.28,4.6,96.627548,0.716,1.0,0.97
4.7,39.0,25.0,51.3,15.0,3.53,6.3,7.04,7.66,94.577057,0.725,1.0,0.975
4.7,54.0,24.85,48.2,17.4,3.46,4.4,8.16,4.99,97.647247,0.786,1.0,0.973
5.1,50.0,11.81,29.7,7.5,2.8,3.4,6.5,5.06,99.272591,0.733,0.995,0.978
5.1,52.0,18.91,32.7,7.6,2.75,3.6,7.56,4.19,99.059776,0.707,0.998,0.96
3.5,30.0,23.14,31.5,7.8,4.13,5.0,2.93,5.16,75.842621,0.639,0.973,0.968
4.4,33.0,25.24,38.8,0.1,4.07,6.5,5.9,5.94,87.648216,0.738,0.992,0.98
5.9,74.0,6.33,30.3,6.8,2.3,2.2,7.84,3.6,99.823509,0.733,1.0,0.975
4.7,38.0,23.37,35.0,2.3,4.61,8.6,3.38,4.79,49.031521,0.691,0.85,0.971
3.5,53.0,24.67,36.7,4.3,4.57,4.2,5.72,3.9,93.699997,0.674,0.997,0.972
5.6,87.0,2.43,27.3,7.8,1.93,1.3,9.2,2.71,100.0,0.861,1.0,0.97
4.8,72.0,11.64,32.4,8.0,2.22,1.5,7.99,5.66,99.0,0.784,1.0,0.97
5.0,56.0,9.03,35.9,18.5,3.34,4.1,5.31,2.96,99.759621,0.732,1.0,0.977
5.2,79.0,9.6,31.9,3.8,1.91,1.7,8.67,4.9,99.0,0.796,0.997,0.972
4.2,43.0,27.66,43.5,4.2,3.49,7.1,6.5,6.01,76.575897,0.666,0.951,0.978
5.7,52.0,14.06,32.9,16.3,2.44,4.3,7.39,4.93,95.29287,0.689,0.994,0.966
3.7,24.0,23.66,48.3,2.2,4.81,6.9,4.97,6.48,79.074211,0.655,0.969,0.979
4.5,40.0,26.12,45.1,3.2,3.8,6.4,6.01,5.1,87.535316,0.728,0.984,0.98
4.0,23.0,24.72,48.2,11.0,4.47,7.3,5.36,6.98,88.424583,0.716,1.0,0.964
5.1,42.0,11.51,29.6,4.3,2.6,3.1,6.56,4.5,99.380882,0.688,0.993,0.98
4.5,40.0,24.84,35.7,4.7,4.57,7.6,6.61,5.53,72.225304,0.625,0.962,0.937
3.7,34.0,25.95,38.2,4.3,3.86,6.2,6.3,6.38,95.437683,0.688,0.97,0.971
3.7,23.0,22.97,29.5,13.0,7.7,8.6,3.62,7.05,79.721764,0.535,0.807,0.968
4.8,77.0,9.74,31.4,5.6,2.77,2.2,9.05,4.9,99.0,0.8,0.998,0.964
4.6,63.0,20.0,39.0,4.3,3.28,1.7,7.84,4.41,97.099998,0.724,1.0,0.964
5.1,56.0,13.24,35.9,9.2,2.4,3.6,7.74,5.81,99.015793,0.721,0.997,0.965
4.8,44.0,25.64,45.5,6.5,3.06,7.3,7.13,5.91,88.499901,0.741,1.0,0.968
4.2,73.0,11.7,32.9,2.8,2.33,1.5,8.13,4.53,99.0,0.656,0.983,0.973
4.0,47.0,19.52,33.7,16.8,4.72,5.1,3.62,4.71,98.014351,0.638,0.991,0.957
4.4,36.0,7.16,27.8,4.9,3.5,4.3,3.14,4.26,99.787849,0.71,0.995,0.975
4.4,32.0,25.08,40.8,5.0,3.64,8.3,5.05,6.95,78.023399,0.692,0.929,0.975
4.1,27.0,2.65,29.7,4.5,4.21,5.0,4.21,5.33,99.50132,0.681,0.99,0.98
3.2,31.0,24.14,38.8,9.4,5.77,6.4,1.77,5.51,79.867462,0.75,0.965,0.975
4.9,59.0,6.87,35.1,8.1,2.58,3.6,7.24,3.51,99.892693,0.778,1.0,0.976
4.8,37.0,12.36,44.9,22.4,3.34,7.2,6.3,3.9,79.360931,0.698,1.0,0.98
3.5,26.0,25.45,35.3,3.1,4.95,9.0,5.32,5.05,47.60014,0.693,0.839,0.962
5.6,62.0,7.38,35.7,8.5,2.32,4.0,7.13,3.31,99.82328,0.804,0.998,0.98
5.0,77.0,10.06,35.4,6.8,2.41,1.6,8.68,2.36,100.0,0.726,1.0,0.965
4.4,26.0,22.64,42.6,1.8,4.95,8.8,5.7,5.59,64.656303,0.725,0.982,0.965
4.1,34.0,22.65,44.7,1.3,4.51,8.5,5.74,3.83,65.963829,0.671,0.915,0.98
3.8,47.0,26.37,41.1,4.5,4.57,4.0,7.19,5.94,94.636993,0.676,0.994,0.972
3.6,28.0,29.21,33.0,1.6,5.81,8.9,3.93,5.89,33.068871,0.591,0.757,0.959
5.1,21.0,19.63,28.7,4.3,2.85,2.1,7.68,4.65,94.066612,0.703,1.0,0.965
4.4,50.0,23.29,36.8,6.3,3.48,3.1,8.14,4.51,90.616043,0.679,0.992,0.98
4.2,31.0,21.31,45.4,4.5,3.74,6.6,6.07,7.56,94.545593,0.757,0.997,0.975
5.4,39.0,10.89,25.7,3.8,2.89,4.9,5.78,4.45,99.244392,0.768,0.996,0.98
4.2,33.0,1.08,32.7,7.0,4.32,4.9,6.48,4.01,98.367638,0.716,0.993,0.98
4.8,45.0,9.9,38.5,17.9,3.21,4.1,5.77,6.0,98.719948,0.732,0.998,0.97
4.5,38.0,18.15,39.5,9.3,5.24,5.4,5.04,4.79,71.710548,0.612,0.956,0.961
4.1,26.0,24.41,54.0,3.4,4.37,9.6,3.51,6.53,58.836552,0.758,0.904,0.98
4.4,49.0,20.45,59.1,19.9,4.24,7.5,6.52,4.33,90.820503,0.809,1.0,0.98
3.2,34.0,14.2,32.8,11.4,4.24,7.4,5.22,6.16,64.663643,0.683,0.895,0.965
4.7,80.0,10.47,28.1,3.8,2.23,1.0,8.96,4.69,99.0,0.762,1.0,0.962
4.2,19.0,25.97,46.2,5.2,4.92,6.6,3.6,6.06,82.471848,0.796,1.0,0.978
3.4,32.0,28.05,34.3,7.8,5.92,9.6,3.29,6.01,19.1026,0.629,0.726,0.964
3.9,24.0,27.3,35.1,8.5,4.9,9.1,4.1,7.15,59.568081,0.627,0.806,0.967
4.7,84.0,2.17,27.6,4.4,2.22,1.3,9.81,3.81,100.0,0.849,1.0,0.964
4.2,27.0,21.01,31.6,4.1,6.8,7.7,4.31,6.28,56.440311,0.556,0.811,0.944
4.4,36.0,25.61,49.8,18.6,3.67,5.1,7.18,6.68,95.038231,0.737,0.994,0.973
5.2,28.0,23.91,45.7,7.5,4.63,6.0,6.18,6.7,95.53611,0.702,0.998,0.974
4.8,36.0,19.72,41.5,7.4,3.75,7.1,6.53,6.35,94.374352,0.721,0.981,0.964
3.3,33.0,26.17,42.3,2.5,4.23,6.5,6.56,6.84,96.618027,0.784,0.999,0.979
5.1,55.0,8.78,30.2,3.2,2.81,3.3,6.85,4.01,99.787422,0.713,0.996,0.98
5.7,62.0,15.84,33.5,6.8,2.66,3.2,7.9,4.55,95.428108,0.775,0.992,0.972
5.0,46.0,10.19,35.8,5.0,2.88,5.3,6.4,4.59,98.757027,0.7,0.997,0.98
5.5,28.0,-3.76,37.5,5.6,2.58,4.0,3.31,6.24,99.719566,0.708,1.0,0.98
3.8,51.0,19.2,43.7,15.3,4.26,7.0,3.1,3.68,71.2435,0.805,0.957,0.974
3.9,43.0,28.91,40.3,2.9,8.33,7.6,5.67,4.81,55.624851,0.684,0.888,0.967
5.0,36.0,11.4,36.2,9.0,2.88,4.2,6.22,6.21,98.002892,0.78,0.998,0.969
3.9,34.0,26.54,35.7,3.2,5.9,8.9,4.86,5.4,48.4319,0.655,0.86,0.966
5.1,56.0,9.87,24.6,5.0,2.47,2.7,7.54,4.29,99.71476,0.741,1.0,0.977
4.6,43.0,18.23,63.0,29.2,3.36,6.9,7.05,6.63,94.597939,0.781,0.994,0.979
4.1,63.0,12.14,31.4,3.9,2.53,2.7,8.01,4.91,97.965942,0.687,0.973,0.976
5.2,60.0,14.01,34.7,15.5,2.69,3.2,8.12,5.78,98.11451,0.788,0.998,0.965
4.8,40.0,26.58,57.9,7.9,3.94,4.9,6.82,4.9,95.538986,0.729,0.993,0.969
5.0,82.0,6.51,33.1,4.8,1.97,1.9,8.83,4.34,99.0,0.798,0.992,0.964
3.8,24.0,3.74,34.0,6.9,5.99,5.0,1.94,5.61,99.781052,0.65,0.942,0.969
4.1,38.0,22.92,40.5,2.1,4.85,8.4,5.1,6.15,80.359497,0.707,0.921,0.97
4.4,36.0,26.86,34.9,1.1,3.69,3.7,6.04,5.76,93.983017,0.71,0.992,0.978
3.9,30.0,27.34,43.1,3.7,4.55,8.2,2.8,5.33,66.53759,0.683,0.782,0.979
4.4,36.0,11.67,41.9,13.1,4.07,5.1,4.48,6.89,95.688103,0.638,0.975,0.967
4.6,26.0,23.26,42.8,10.1,4.53,8.3,4.94,6.14,73.809837,0.717,0.898,0.98
6.3,33.0,9.28,26.6,9.5,2.46,4.3,5.81,6.18,99.764107,0.714,1.0,0.978
5.0,73.0,17.96,39.7,10.5,2.78,3.5,8.61,2.69,98.442101,0.702,1.0,0.98
4.2,14.0,25.71,44.8,5.0,4.33,8.6,2.76,6.64,95.399246,0.699,0.998,0.98
3.6,16.0,25.54,36.7,13.5,6.67,9.9,1.95,6.13,69.961952,0.492,0.717,0.968
4.0,33.0,22.23,57.1,12.5,5.13,7.8,4.86,4.93,85.117264,0.726,0.938,0.98
4.0,23.0,21.89,50.3,16.9,4.08,8.7,3.16,5.66,86.873482,0.732,0.977,0.98
