"country","category","score","elecProcess","functioningOfGovt","politParticipation","politCulture","civilLiberties"
"Norway","Full Democracy",9.81,10,9.64,10,10,9.41
"Iceland","Full Democracy",9.37,10,8.57,8,10,9.41
"Sweden","Full Democracy",9.26,9,9.29,8,10,9.12
"New Zealand","Full Democracy",9.25,10,8.93,8,8,9.71
"Canada","Full Democracy",9.24,9,8.93,8,9,9.41
"Finland","Full Democracy",9.2,10,8.93,8,8,9.41
"Denmark","Full Democracy",9.15,10,8.93,8,9,9.12
"Ireland","Full Democracy",9.05,10,7.86,8,9,9.71
"Australia","Full Democracy",8.96,10,8.57,7,8,9.71
"Netherlands","Full Democracy",8.96,9,9.29,8,8,8.82
"Taiwan","Full Democracy",8.94,10,9.64,7,8,9.71
"Switzerland","Full Democracy",8.83,9,8.57,7,9,8.82
"Luxembourg","Full Democracy",8.68,10,8.57,6,8,9.41
"Germany","Full Democracy",8.67,9,8.21,8,8,9.12
"Uruguay","Full Democracy",8.61,10,8.57,6,8,9.71
"United Kingdom","Full Democracy",8.54,10,7.5,8,7,8.82
"Chile","Full Democracy",8.28,9,8.21,6,8,8.82
"Austria","Full Democracy",8.16,9,7.5,8,6,8.53
"Costa Rica","Full Democracy",8.16,9,6.79,7,7,9.71
"Mauritius","Full Democracy",8.14,9,7.86,6,8,8.82
"Japan","Full Democracy",8.13,8,8.57,6,8,8.53
"Spain","Full Democracy",8.12,9,7.14,7,8,8.53
"South Korea","Full Democracy",8.01,9,8.21,7,7,7.94
"France","Flawed Democracy",7.99,9,7.5,7,6,8.24
"United States","Flawed Democracy",7.92,9,6.79,8,6,8.53
"Portugal","Flawed Democracy",7.9,9,7.5,6,7,8.82
"Israel","Flawed Democracy",7.84,9,7.5,9,7,5.59
"Estonia","Flawed Democracy",7.84,9,7.86,6,6,8.24
"Italy","Flawed Democracy",7.74,9,6.43,7,7,7.94
"Malta","Flawed Democracy",7.68,9,6.79,6,8,8.24
"Czech Republic","Flawed Democracy",7.67,9,6.07,6,7,8.53
