,country,crime index
0,Afghanistan,7.08
1,Albania,5.63
2,Algeria,4.51
3,Andorra,2.96
4,Angola,5.29
5,Antigua and Barbuda,3.34
6,Argentina,4.38
7,Armenia,3.26
8,Australia,4.0
9,Austria,4.04
10,Azerbaijan,5.08
11,Bahrain,4.83
12,Bangladesh,4.98
13,Barbados,3.21
14,Belarus,5.08
15,Belgium,4.34
16,Belize,4.64
17,Benin,5.25
18,Bhutan,3.69
19,Bolivia,4.3
20,Bosnia and Herzegovina,5.89
21,Botswana,3.71
22,Brazil,6.5
23,Brunei,2.76
24,Bulgaria,5.43
25,Burkina Faso,5.49
26,Burundi,4.51
27,Cambodia,5.83
28,Cameroon,6.31
29,Canada,3.66
30,Central African Republic,7.04
31,Chad,5.86
32,Chile,4.6
33,Colombia,7.66
34,Comoros,3.86
35,Costa Rica,4.99
36,Croatia,5.06
37,Cuba,3.44
38,Cyprus,4.19
39,Czech Republic,4.63
40,Democratic Republic of the Congo,7.75
41,Denmark,3.86
42,Djibouti,3.99
43,Dominica,2.63
44,Dominican Republic,5.15
45,East Timor,3.96
46,Ecuador,6.25
47,Egypt,5.16
48,El Salvador,5.94
49,Equatorial Guinea,4.11
50,Eritrea,4.34
51,Estonia,3.6
52,Eswatini,3.63
53,Ethiopia,4.79
54,Federated States of Micronesia,3.3
55,Fiji,3.9
56,Finland,2.71
57,France,5.66
58,Gabon,4.9
59,Georgia,2.96
60,Germany,4.9
61,Ghana,6.01
62,Greece,4.93
63,Grenada,3.05
64,Guatemala,6.48
65,Guinea,5.2
66,Guinea-Bissau,5.45
67,Guyana,5.1
68,Haiti,5.73
69,Honduras,6.98
70,Hungary,4.5
71,Iceland,3.39
72,India,5.53
73,Indonesia,6.38
74,Iran,7.1
75,Iraq,7.05
76,Ireland,4.9
77,Israel,4.41
78,Italy,5.81
79,Ivory Coast,6.15
80,Jamaica,5.91
81,Japan,4.53
82,Jordan,4.71
83,Kazakhstan,4.26
84,Kenya,6.95
85,Kuwait,5.14
86,Kyrgyzstan,5.33
87,Laos,5.51
88,Latvia,3.51
89,Lebanon,6.76
90,Lesotho,3.9
91,Liberia,5.05
92,Libya,6.55
93,Liechtenstein,1.88
94,Lithuania,3.31
95,Luxembourg,2.36
96,Madagascar,5.59
97,Malawi,3.83
98,Malaysia,5.94
99,Maldives,4.06
100,Mali,5.89
101,Malta,4.65
102,Marshall Islands,2.31
103,Mauritania,4.38
104,Mauritius,4.51
105,Mexico,7.56
106,Moldova,4.45
107,Monaco,2.43
108,Mongolia,4.01
109,Montenegro,6.0
110,Morocco,4.79
111,Mozambique,6.53
112,Myanmar,7.59
113,Namibia,4.33
114,Nauru,1.76
115,Nepal,6.16
116,Netherlands,4.69
117,New Zealand,3.25
118,Nicaragua,6.06
119,Niger,6.01
120,Nigeria,7.15
121,North Korea,4.78
122,Norway,3.81
123,Oman,4.14
124,Pakistan,6.28
125,Palau,2.94
126,Panama,6.68
127,Papua New Guinea,5.44
128,Paraguay,6.7
129,People's Republic of China,6.01
130,Peru,6.35
131,Philippines,6.84
132,Poland,4.01
133,Portugal,4.55
134,Qatar,5.21
135,Republic of the Congo,5.03
136,Romania,4.59
137,Russia,6.24
138,Rwanda,3.68
139,Saint Kitts and Nevis,4.1
140,Saint Lucia,4.09
141,Saint Vincent and the Grenadines,3.3
142,San Marino,3.01
143,Saudi Arabia,6.01
144,Senegal,4.81
145,Serbia,6.21
146,Seychelles,3.68
147,Sierra Leone,5.4
148,Singapore,3.13
149,Slovakia,4.69
150,Slovenia,4.29
151,Solomon Islands,4.15
152,Somalia,5.79
153,South Africa,6.63
154,South Korea,4.91
155,South Sudan,6.34
156,Spain,5.78
157,Sri Lanka,4.64
158,Sudan,6.46
159,Suriname,4.9
160,Sweden,4.56
161,Switzerland,4.34
162,Syria,6.84
163,São Tomé and Príncipe,1.78
164,Tajikistan,5.61
165,Tanzania,6.15
166,Thailand,5.76
167,The Bahamas,3.79
168,The Gambia,4.83
169,Togo,5.33
170,Trinidad and Tobago,4.94
171,Tunisia,3.79
172,Turkey,6.89
173,Turkmenistan,4.61
174,Uganda,6.14
175,Ukraine,6.18
176,United Arab Emirates,5.75
177,United Kingdom,4.89
178,United States of America,5.5
179,Uruguay,2.69
180,Uzbekistan,4.96
181,Vanuatu,2.2
182,Venezuela,6.64
183,Vietnam,6.28
184,Yemen,6.13
185,Zambia,4.93
186,Zimbabwe,5.66
