,country,region,depression_rate,corruption_score,average_temperature,gini,unemployment_rate,Family size,Public services index,crime index,litracy_rate,gender_equality,democracy_score,Air Quality,Density (per sq km),percentage_poverty
0,Albania,Europe,4.8,36.0,12.47,59.0,11.7,3.3,4.1,5.63,97.55,0.77,6.08,0,113.2,14.3
1,Algeria,Africa,4.5,33.0,23.61,27.6,13.6,5.05,5.3,4.51,79.61,0.633,3.77,1,18.8,5.5
2,Angola,Africa,3.6,33.0,21.77,51.3,9.6,4.82,9.1,5.29,71.16,0.657,3.66,3,28.9,32.3
3,Argentina,Americas,4.7,38.0,15.1,42.9,11.5,3.26,4.5,4.38,98.09,0.752,6.95,0,17.0,35.5
4,Armenia,Asia,5.0,46.0,7.86,29.9,18.3,3.54,3.6,3.26,99.77,0.673,5.35,1,106.0,26.4
5,Australia,Oceania,5.9,75.0,22.05,34.4,6.5,2.55,2.5,4.0,99.0,0.731,8.96,0,3.4,12.4
6,Austria,Europe,5.1,71.0,7.43,30.8,5.4,2.88,2.0,4.04,98.0,0.777,8.16,0,108.4,13.3
7,Azerbaijan,Asia,4.6,23.0,13.37,26.6,4.8,4.55,5.2,5.08,99.81,0.688,2.68,0,126.1,6.0
8,Bangladesh,Asia,4.1,25.0,25.69,32.4,4.4,4.47,7.8,4.98,61.49,0.719,5.99,3,1284.4,24.3
9,Belarus,Europe,5.6,39.0,7.45,25.3,4.1,2.48,3.0,5.08,99.72,0.758,2.59,0,46.2,5.0
10,Belgium,Europe,4.8,58.61,10.67,27.2,5.5,2.36,2.8,4.34,99.0,0.789,7.51,0,393.5,14.8
11,Bolivia,Americas,4.4,31.0,20.78,41.6,7.9,3.53,6.6,4.3,95.14,0.722,5.08,1,11.2,37.2
12,Bosnia and Herzegovina,Europe,5.1,34.0,10.38,33.0,15.9,2.54,2.86,5.89,98.49,0.76,7.4,1,74.4,16.9
13,Brazil,Americas,5.8,38.0,25.45,53.4,13.7,3.31,7.5,6.5,92.59,0.695,6.92,1,26.2,26.5
14,Bulgaria,Europe,5.2,43.0,11.37,41.3,5.1,2.34,4.2,5.43,98.39,0.746,6.71,0,62.9,23.8
15,Burkina Faso,Africa,3.6,42.0,29.26,35.3,4.7,5.92,8.8,5.49,37.75,0.651,3.73,1,82.1,41.4
16,Cambodia,Asia,3.4,24.0,27.41,34.55,1.2,4.61,7.9,5.83,78.35,0.684,3.1,0,95.7,17.7
17,Canada,Americas,4.7,74.0,-4.06,33.3,9.5,2.45,2.0,3.66,99.0,0.772,9.24,1,4.2,11.6
18,Central African Republic,Africa,4.2,24.0,25.47,56.2,8.57,4.91,10.0,7.04,36.75,0.68,1.32,3,8.9,62.0
19,Chad,Africa,3.5,19.0,27.65,43.3,1.1,5.78,9.7,5.86,40.02,0.593,1.55,1,14.7,42.3
20,Chile,Americas,5.0,67.0,9.49,44.4,11.2,3.58,4.2,4.6,96.63,0.716,8.28,3,24.9,8.6
