"country","percPoverty","dataYear","lessThan10","lessThan550"
"Equatorial Guinea",76.8,2006,,
"South Sudan",76.4,2016,99.7,98.44
"Madagascar",70.7,2012,99.41,97.09
"Guinea-Bissau",69.3,2010,96.56,92.21
"Eritrea",69,1993,,
"Sao Tome and Principe",66.7,2017,94.74,86.18
"Burundi",64.9,2013,99.7,98.02
"DR Congo",63.9,2012,99.39,96.78
"Central African Republic",62,2008,97.78,94.26
"Guatemala",59.3,2014,72.16,43.29
"Eswatini",58.9,2016,84.71,70.93
"Haiti",58.5,2012,92.64,73.5
"Sierra Leone",56.8,2018,98.01,92.08
"South Africa",55.5,2014,73.65,57.85
"Togo",55.1,2015,97.52,88.31
"Afghanistan",54.5,2016,,
"Zambia",54.4,2015,95.57,87.95
"Malawi",51.5,2016,99.07,96.33
"Liberia",50.9,2016,99.32,94.46
"Lesotho",49.7,2017,91.97,74.06
"Yemen",48.6,2014,99.13,94.55
"Gambia",48.6,2015,92.05,68.09
"Honduras",48.3,2018,74,48.99
"Senegal",46.7,2011,94.36,81.86
"Sudan",46.5,2009,95.98,80.69
"Mozambique",46.1,2014,96.83,91.77
"Guinea",43.7,2018,97.31,85.7
"Comoros",42.4,2013,86.57,63.94
"Chad",42.3,2018,97.09,88
"Mali",42.1,2019,99.17,93.29
"Mexico",41.9,2018,55.77,22.96
"Timor-Leste",41.8,2014,,
"Burkina Faso",41.4,2018,97.53,89.96
"Micronesia",41.2,2013,90.54,68.81
"Republic of the Congo",40.9,2011,97.29,91.94
"Niger",40.8,2018,98.61,91.89
"Nigeria",40.1,2018,98.76,92.04
"Papua New Guinea",39.9,2009,93.89,77.57
"Ivory Coast",39.5,2018,93.14,76.9
"Benin",38.5,2019,95.52,89.54
"Zimbabwe",38.3,2019,93.08,82.78
"Rwanda",38.2,2016,97.42,90.04
"Cameroon",37.5,2014,87.86,67.59
"Bolivia",37.2,2019,49.14,19.9
"Kenya",36.1,2015,95.62,83.81
"Colombia",35.7,2019,55.8,29.37
"Argentina",35.5,2019,35.76,14.4
"Syria",35.2,2007,97.23,88.68
"Gabon",33.4,2017,65.18,32.37
"Venezuela",33.1,2015,,
"Egypt",32.5,2017,94.02,73.43
"Angola",32.3,2018,97.16,89.13
"Mauritania",31,2014,88.82,56.33
"Fiji",29.9,2019,64.22,24.58
"Palestine",29.2,2018,57.33,22.32
"Mongolia",28.4,2018,62.34,22.3
"Lebanon",27.4,2011,15.23,2.5
"Brazil",26.5,2018,39.66,19.62
"Tanzania",26.4,2017,97.71,91.4
"Armenia",26.4,2019,86.84,44.02
"Tajikistan",26.3,2019,76.69,38.49
"Tuvalu",26.3,2010,66.68,30.1
"Seychelles",25.3,2018,16.77,4.76
"Nepal",25.2,2010,91.73,67.91
"Ecuador",25,2019,52.99,25.39
"Saint Lucia",25,2016,38.98,18.61
"Nicaragua",24.9,2016,68.03,35.49
"Palau",24.9,2006,,
"Myanmar",24.8,2017,85.94,47.38
"Montenegro",24.5,2018,31.72,12.92
"Pakistan",24.3,2015,94.64,75.96
"Bangladesh",24.3,2016,94.42,76.01
"Romania",23.8,2018,23.66,9.82
"Bulgaria",23.8,2019,16.05,6.1
"Ethiopia",23.5,2015,96.33,85.67
"Paraguay",23.5,2019,39.53,15.36
"Ghana",23.4,2016,78.45,50.27
"Serbia",23.2,2018,31.85,4.99
"Latvia",22.9,2018,7.72,2.37
"El Salvador",22.8,2019,56.04,22.31
"Tonga",22.5,2009,63.24,23.98
"Panama",22.1,2016,26.94,12.13
"India",21.9,2011,,
"Kiribati",21.8,2006,91.18,65.11
"Estonia",21.7,2018,2.91,0.71
"North Macedonia",21.6,2018,43.24,16.59
"Uganda",21.4,2016,95.89,86.48
"Djibouti",21.1,2017,88.97,65.09
"Dominican Republic",21,2019,40.91,12.4
"Costa Rica",21,2019,31.38,10.62
"Spain",20.7,2018,6.55,2.4
"Lithuania",20.6,2018,7.53,2.4
"Samoa",20.3,2013,65.82,26.78
"Peru",20.2,2019,48.36,20.57
"Italy",20.1,2018,5.58,3.05
"Kyrgyzstan",20.1,2019,89.63,52.6
"Jamaica",19.9,2012,62.01,29.93
"Georgia",19.5,2019,78.18,42
"Botswana",19.3,2009,76.94,57.61
"Iraq",18.9,2012,86.46,48.29
"United Kingdom",18.6,2017,2.13,0.86
"Laos",18.3,2018,90.71,69.51
"Croatia",18.3,2018,9.73,2.14
"Greece",17.9,2018,13.88,2.86
"United States",17.8,2018,2.75,1.75
"Cambodia",17.7,2012,,
"Luxembourg",17.5,2018,1.34,0.58
"Namibia",17.4,2015,73.74,54.08
"Portugal",17.2,2018,6.11,1.64
"Sweden",17.1,2018,2.16,1.21
"Malta",17.1,2018,0.59,0.27
"Israel",16.9,2018,10,2.47
"Bosnia and Herzegovina",16.9,2015,11.7,2.01
"Philippines",16.7,2018,84.34,56.12
"Switzerland",16,2018,0.84,0.14
"Japan",15.7,2018,2.49,1.21
"Jordan",15.7,2018,58.66,16.25
"Poland",15.4,2018,16.77,1.2
"Tunisia",15.2,2015,54.47,16.41
"Germany",14.8,2018,1.24,0.5
"Belgium",14.8,2018,0.42,0.16
"Cyprus",14.7,2018,0.73,0.08
"Turkey",14.4,2018,30.48,10.2
"Albania",14.3,2012,66.45,29.86
"Uzbekistan",14.1,2013,93.21,75.14
"France",13.6,2018,0.41,0.11
"Netherlands",13.6,2019,0.71,0.34
"Austria",13.3,2018,1.53,1.04
"Ireland",13.1,2018,0.72,0.4
"Norway",12.7,2018,0.63,0.36
"Solomon Islands",12.7,2012,96.17,83.38
