,country,rateWb
0,Afghanistan,11.7
1,Albania,11.7
2,Algeria,13.6
3,American Samoa,9.2
4,Andorra,
5,Angola,9.6
6,Anguilla,
7,Antigua and Barbuda,8.4
8,Argentina,11.5
9,Armenia,18.3
10,Aruba,8.9
11,Australia,6.5
12,Austria,5.4
13,Azerbaijan,4.8
14,Bahamas,10.0
15,Bahrain,1.2
16,Bangladesh,4.4
17,Barbados,8.4
18,Belarus,4.1
19,Belgium,5.5
20,Belize,9.1
21,Benin,1.5
22,Bermuda,8.9
23,Bhutan,2.5
24,Bolivia,7.9
25,Bosnia and Herzegovina,15.9
26,Botswana,24.9
27,Brazil,13.7
28,British Virgin Islands,3.3
29,Bulgaria,5.1
30,Burkina Faso,4.7
31,Cambodia,1.2
32,Cameroon,3.5
33,Canada,9.5
34,Cayman Islands,4.2
35,Central African Republic,
36,Chad,1.1
37,Chile,11.2
38,China,5.2
39,Colombia,15.0
40,Comoros,8.1
41,Cook Islands,
42,Costa Rica,17.4
43,Croatia,7.5
44,Cuba,1.7
45,Curacao,19.1
46,Cyprus,7.6
47,Czech Republic,2.5
48,DR Congo,4.5
49,Denmark,5.6
50,Djibouti,26.1
51,Dominica,11.0
52,Dominican Republic,6.1
53,Ecuador,6.1
54,Egypt,7.8
55,El Salvador,0.1
56,Equatorial Guinea,25.0
57,Eritrea,
58,Estonia,6.8
59,Eswatini,22.7
60,Ethiopia,2.3
61,Falkland Islands,
62,Faroe Islands,3.7
63,Fiji,4.3
64,Finland,7.8
65,France,8.0
66,French Guiana,
67,French Polynesia,11.7
68,Gabon,20.4
69,Gambia,10.2
70,Georgia,18.5
71,Germany,3.8
72,Ghana,4.2
73,Gibraltar,6.4
74,Greece,16.3
75,Greenland,9.1
76,Grenada,22.9
77,Guadeloupe,
78,Guam,5.4
79,Guatemala,2.2
80,Guernsey,
81,Guinea,5.0
82,Guyana,3.2
83,Haiti,14.1
84,Honduras,11.0
85,Hong Kong,5.8
86,Hungary,4.3
87,Iceland,5.5
88,India,4.7
89,Indonesia,4.3
90,Iran,9.7
91,Iraq,13.0
92,Ireland,5.6
93,Isle of Man,2.7
94,Israel,4.3
95,Italy,9.2
96,Ivory Coast,3.3
97,Jamaica,6.5
98,Japan,2.8
99,Jersey,
100,Jordan,16.8
101,Kazakhstan,4.9
102,Kenya,5.0
103,Kiribati,8.6
104,Kuwait,2.2
105,Kyrgyzstan,4.5
106,Laos,9.4
107,Latvia,8.1
108,Lebanon,11.3
109,Lesotho,22.4
110,Liberia,3.1
111,Libya,19.0
112,Liechtenstein,2.0
113,Lithuania,8.5
114,Luxembourg,6.8
115,Macau,2.6
116,Madagascar,1.8
117,Malawi,1.3
118,Malaysia,4.5
119,Maldives,5.3
120,Mali,1.6
121,Malta,4.3
122,Marshall Islands,6.4
123,Mauritania,10.3
124,Mauritius,6.3
125,Mexico,4.5
126,Micronesia,8.9
127,Moldova,3.8
128,Monaco,6.3
129,Mongolia,7.0
130,Montenegro,17.9
131,Montserrat,
132,Morocco,9.3
133,Mozambique,3.4
134,Myanmar,0.5
135,Namibia,19.9
136,Nauru,13.3
137,Nepal,11.4
138,Netherlands,3.8
139,New Caledonia,14.6
140,New Zealand,4.6
141,Nicaragua,5.2
142,Niger,7.8
143,Nigeria,8.5
144,Niue,
145,North Korea,
146,North Macedonia,17.2
147,Northern Mariana Islands,11.2
148,Norway,4.4
149,Oman,2.9
150,Pakistan,4.1
151,Palau,1.4
152,Panama,18.6
153,Papua New Guinea,2.6
154,Paraguay,7.5
155,Peru,7.4
156,Philippines,2.5
157,Poland,3.2
158,Portugal,6.8
159,Puerto Rico,8.3
160,Qatar,0.1
161,Republic of the Congo,10.0
162,Romania,5.0
163,Russia,5.6
164,Rwanda,15.3
165,Saint Kitts and Nevis,5.1
166,Saint Lucia,15.3
167,Saint Pierre and Miquelon,
168,Saint Vincent and the Grenadines,18.8
169,Samoa,14.5
170,San Marino,5.8
171,Sao Tome and Principe,13.6
172,Saudi Arabia,7.4
173,Senegal,2.9
174,Serbia,9.0
175,Seychelles,4.3
176,Sierra Leone,3.2
177,Singapore,4.1
178,Sint Maarten,
179,Slovakia,6.7
180,Slovenia,5.0
181,Solomon Islands,0.7
182,Somalia,
183,South Africa,29.2
184,South Korea,3.9
185,South Sudan,12.2
186,Spain,15.5
187,Sri Lanka,4.3
188,Sudan,17.4
189,Suriname,7.9
190,Sweden,8.3
191,Switzerland,4.8
192,Syria,8.6
193,Taiwan,
194,Tajikistan,6.9
195,Tanzania,2.1
196,Thailand,1.1
197,Timor-Leste,4.7
198,Togo,3.7
199,Tokelau,
200,Tonga,3.1
201,Trinidad and Tobago,3.2
202,Tunisia,15.1
203,Turkey,13.1
204,Turkmenistan,4.0
205,Turks and Caicos Islands,8.3
206,Tuvalu,8.5
207,Uganda,10.1
208,Ukraine,9.5
209,UAE,2.2
210,UK,3.7
211,USA,8.1
212,Uruguay,10.5
213,Uzbekistan,9.0
214,Vanuatu,7.9
215,Venezuela,5.0
216,Vietnam,2.4
217,Wallis and Futuna,
218,Yemen,13.5
219,Zambia,12.5
220,Zimbabwe,16.9
