,Country,Water Scarcity
0,Afghanistan,1
1,Albania,1
2,Algeria,1
3,Andorra,1
4,Angola,3
5,Argentina,3
6,Armenia,1
7,Australia,4
8,Austria,2
9,Azerbaijan,4
10,Bahrain,0
11,Bangladesh,2
12,Belarus,2
13,Belgium,1
14,Belize,2
15,Benin,2
16,Bolivia,3
17,Bosnia and Herzegovina,3
18,Botswana,0
19,Brazil,2
20,Bulgaria,4
21,Burkina Faso,1
22,Burundi,2
23,Cambodia,2
24,Cameroon,2
25,Canada,2
26,Central African Republic,2
27,Chad,3
28,Chile,1
29,China,4
30,Colombia,2
31,Costa Rica,2
32,Croatia,2
33,Cuba,4
34,Cyprus,1
35,Czech Republic,3
36,Côte d'Ivoire,2
37,Democratic Republic of the Congo,2
38,Denmark,4
39,Djibouti,1
40,Dominican Republic,3
41,Ecuador,3
42,Egypt,1
43,El Salvador,3
44,Eritrea,0
45,Estonia,4
46,Ethiopia,3
47,Finland,2
48,France,4
49,Gambia,2
50,Georgia,3
51,Germany,4
52,Ghana,2
53,Greece,1
54,Guatemala,4
55,Guinea,2
56,Guinea-Bissau,2
57,Haiti,3
58,Honduras,2
59,Hungary,2
60,India,0
61,Indonesia,4
62,Iran,0
63,Iraq,1
64,Ireland,2
65,Israel,0
66,Italy,1
67,Japan,3
68,Jordan,0
69,Kazakhstan,4
70,Kenya,2
71,Kuwait,0
72,Kyrgyzstan,1
73,Laos,2
74,Latvia,2
75,Lebanon,0
76,Lesotho,4
77,Libya,0
78,Liechtenstein,2
79,Lithuania,3
80,Luxembourg,4
81,Macedonia,4
82,Madagascar,2
83,Malawi,2
84,Malaysia,2
85,Mali,2
86,Mauritania,4
87,Mexico,1
88,Moldova,3
89,Mongolia,4
90,Montenegro,2
91,Morocco,1
92,Mozambique,2
93,Myanmar,2
94,Namibia,1
95,Nepal,1
96,Netherlands,3
97,New Zealand,2
98,Nicaragua,2
99,Niger,1
100,Nigeria,3
101,North Korea,3
102,Oman,0
103,Pakistan,0
104,Panama,2
105,Papua New Guinea,2
106,Paraguay,2
107,Peru,4
108,Philippines,3
109,Poland,3
110,Portugal,1
111,Qatar,0
112,Romania,3
113,Russia,3
114,Rwanda,2
115,San Marino,0
116,Saudi Arabia,0
117,Senegal,3
118,Serbia,2
119,Sierra Leone,2
120,Slovakia,2
121,Slovenia,2
122,Somalia,3
123,South Africa,4
124,South Korea,4
125,South Sudan,3
126,Spain,1
127,Sri Lanka,3
128,Sudan,4
129,Swaziland,3
130,Sweden,2
131,Switzerland,2
132,Syria,1
133,Tajikistan,4
134,Tanzania,3
135,Thailand,4
136,Tunisia,1
137,Turkey,1
138,Turkmenistan,0
139,Uganda,2
140,Ukraine,3
141,United Arab Emirates,0
142,United Kingdom,3
143,United States,3
144,Uzbekistan,1
145,Venezuela,4
146,Vietnam,2
147,Yemen,1
148,Zambia,2
149,Zimbabwe,3
