"country","latestRate","dataYear","pop2023"
"Finland",100,2000,5545475
"Norway",100,2011,5474360
"Luxembourg",100,2000,654768
"Andorra",100,2011,80088
"Greenland",100,2001,56643
"Liechtenstein",100,2011,39584
"Uzbekistan",99.995193,2015,35163944
"Latvia",99.892693,2015,1830211
"Estonia",99.823509,2015,1322765
"Lithuania",99.82328,2015,2718352
"Azerbaijan",99.80526,2015,10412651
"Guam",99.78904,2015,172952
"Kazakhstan",99.787849,2015,19606633
"Poland",99.787422,2015,41026067
"Tajikistan",99.781052,2015,10143543
"Armenia",99.768417,2015,2777970
"Ukraine",99.764107,2015,36744634
"Georgia",99.759621,2015,3728282
"Belarus",99.722038,2015,9498238
"Russia",99.719566,2015,144444359
"Slovenia",99.71476,2015,2119675
"Cuba",99.710716,2015,11194449
"Barbados",99.699997,2002,281995
"Turkmenistan",99.692932,2015,6516100
"Slovakia",99.599998,2004,5795199
"Palau",99.523972,2015,18058
"Kyrgyzstan",99.50132,2015,6735347
"Tonga",99.397858,2015,107773
"Hungary",99.380882,2015,10156239
"Maldives",99.321022,2015,521020.99999999994
"Croatia",99.272591,2015,4008617
"Moldova",99.244392,2015,3435931
"Cyprus",99.059776,2015,1260138
"Italy",99.015793,2015,58870762
"Samoa",99.015007,2015,225681
"United States",99,2003,339996563
"Japan",99,2002,123294513
"Germany",99,2003,83294633
"United Kingdom",99,2003,67736802
"France",99,2003,64756584
"Canada",99,2003,38781291
"Australia",99,2003,26439111
"Netherlands",99,2003,17618299
"Belgium",99,2003,11686140
"Sweden",99,2003,10612086
"Switzerland",99,2003,8796669
"Denmark",99,2003,5910913
"New Zealand",99,2003,5228100
"Ireland",99,2003,5056935
"Iceland",99,2003,375318
"Monaco",99,2003,36297
"Saint Pierre and Miquelon",99,1982,5840
"Trinidad and Tobago",98.969582,2015,1534937
"Antigua and Barbuda",98.949997,2014,94298
"Cayman Islands",98.867821,2007,69310
"Romania",98.757027,2015,19892812
"Montenegro",98.719948,2015,626485
"Bosnia and Herzegovina",98.485764,2015,3210847
"Uruguay",98.442101,2015,3423108
"Bulgaria",98.38858,2015,6687717
"Mongolia",98.367638,2015,3447157
"Marshall Islands",98.265083,2015,41996
"Spain",98.11451,2015,47519628
"Argentina",98.089973,2015,45773884
"Jordan",98.014351,2015,11337052
"Serbia",98.002892,2015,7149077
"Austria",98,2011,8958960
"French Polynesia",98,1977,308872
"Bermuda",98,2005,64069
"Turks and Caicos Islands",98,1970,46062
"South Korea",97.965942,2008,51784059
"North Macedonia",97.843758,2015,2085679
"Saint Kitts and Nevis",97.800003,2003,47755
"British Virgin Islands",97.800003,1991,31538
"Qatar",97.757088,2015,2716391
"Costa Rica",97.647247,2015,5212173
"Albania",97.553902,2015,2832439
"Aruba",97.5242,2015,106277
"American Samoa",97.344162,1980,43914
