"country","pop2023"
"India",1428627663
"China",1425671352
"United States",339996563
"Indonesia",277534122
"Pakistan",240485658
"Nigeria",223804632
"Brazil",216422446
"Bangladesh",172954319
"Russia",144444359
"Mexico",128455567
"Ethiopia",126527060
"Japan",123294513
"Philippines",117337368
"Egypt",112716598
"DR Congo",102262808
"Vietnam",98858950
"Iran",89172767
"Turkey",85816199
"Germany",83294633
"Thailand",71801279
"United Kingdom",67736802
"Tanzania",67438106
"France",64756584
"South Africa",60414495
"Italy",58870762
"Kenya",55100586
"Myanmar",54577997
"Colombia",52085168
"South Korea",51784059
"Uganda",48582334
"Sudan",48109006
"Spain",47519628
"Argentina",45773884
"Algeria",45606480
"Iraq",45504560
"Afghanistan",42239854
"Poland",41026067
"Canada",38781291
"Morocco",37840044
"Saudi Arabia",36947025
"Ukraine",36744634
"Angola",36684202
"Uzbekistan",35163944
"Yemen",34449825
"Peru",34352719
"Malaysia",34308525
"Ghana",34121985
"Mozambique",33897354
"Nepal",30896590
"Madagascar",30325732
"Ivory Coast",28873034
"Venezuela",28838499
"Cameroon",28647293
"Niger",27202843
"Australia",26439111
"North Korea",26160821
"Taiwan",23923276
"Mali",23293698
"Burkina Faso",23251485
"Syria",23227014
"Sri Lanka",21893579
"Malawi",20931751
"Zambia",20569737
"Romania",19892812
"Chile",19629590
"Kazakhstan",19606633
"Chad",18278568
"Ecuador",18190484
"Somalia",18143378
"Guatemala",18092026
"Senegal",17763163
"Netherlands",17618299
"Cambodia",16944826
"Zimbabwe",16665409
"Guinea",14190612
"Rwanda",14094683
"Benin",13712828
"Burundi",13238559
"Tunisia",12458223
"Bolivia",12388571
"Haiti",11724763
"Belgium",11686140
"Jordan",11337052
"Dominican Republic",11332972
"Cuba",11194449
"South Sudan",11088796
"Sweden",10612086
"Honduras",10593798
"Czech Republic",10495295
"Azerbaijan",10412651
"Greece",10341277
"Papua New Guinea",10329931
"Portugal",10247605
"Hungary",10156239
"Tajikistan",10143543
"United Arab Emirates",9516871
"Belarus",9498238
"Israel",9174520
"Togo",9053799
"Austria",8958960
"Switzerland",8796669
"Sierra Leone",8791092
"Laos",7633779
"Hong Kong",7491609
"Serbia",7149077
"Nicaragua",7046310
"Libya",6888388
"Paraguay",6861524
"Kyrgyzstan",6735347
"Bulgaria",6687717
"Turkmenistan",6516100
"El Salvador",6364943
"Republic of the Congo",6106869
"Singapore",6014723
"Denmark",5910913
"Slovakia",5795199
"Central African Republic",5742315
"Finland",5545475
"Norway",5474360
"Liberia",5418377
"Palestine",5371230
"Lebanon",5353930
"New Zealand",5228100
"Costa Rica",5212173
"Ireland",5056935
"Mauritania",4862989
"Oman",4644384
"Panama",4468087
"Kuwait",4310108
"Croatia",4008617
"Eritrea",3748901
"Georgia",3728282
"Mongolia",3447157
"Moldova",3435931
"Uruguay",3423108
"Puerto Rico",3260314
"Bosnia and Herzegovina",3210847
"Albania",2832439
"Jamaica",2825544
"Armenia",2777970
"Gambia",2773168
"Lithuania",2718352
"Qatar",2716391
"Botswana",2675352
"Namibia",2604172
"Gabon",2436566
"Lesotho",2330318
"Guinea-Bissau",2150842
"Slovenia",2119675
"North Macedonia",2085679
"Latvia",1830211
"Equatorial Guinea",1714671
"Trinidad and Tobago",1534937
"Bahrain",1485509
"Timor-Leste",1360596
"Estonia",1322765
"Mauritius",1300557
"Cyprus",1260138
"Eswatini",1210822
"Djibouti",1136455
"Reunion",981796
"Fiji",936375
"Comoros",852075
"Guyana",813834
"Bhutan",787424
"Solomon Islands",740424
"Macau",704149
"Luxembourg",654768
"Montenegro",626485
"Suriname",623236
"Cape Verde",598682
"Western Sahara",587259
"Malta",535064
"Maldives",521020.99999999994
"Brunei",452524
"Bahamas",412623
"Belize",410825
"Guadeloupe",395839
"Iceland",375318
"Martinique",366981
"Mayotte",335995
"Vanuatu",334506
"French Guiana",312155
"French Polynesia",308872
"New Caledonia",292991
"Barbados",281995
"Sao Tome and Principe",231856
"Samoa",225681
"Curacao",192077
"Saint Lucia",180251
"Guam",172952
"Kiribati",133515
"Grenada",126183
"Micronesia",115224
"Jersey",111802
"Tonga",107773
"Seychelles",107660
"Aruba",106277
"Saint Vincent and the Grenadines",103698
"United States Virgin Islands",98750
"Antigua and Barbuda",94298
"Isle of Man",84710
"Andorra",80088
"Dominica",73040
"Cayman Islands",69310
"Bermuda",64069
"Guernsey",63544
"Greenland",56643
"Faroe Islands",53270
"Northern Mariana Islands",49796
"Saint Kitts and Nevis",47755
"Turks and Caicos Islands",46062
"Sint Maarten",44222
"American Samoa",43914
"Marshall Islands",41996
"Liechtenstein",39584
"Monaco",36297
"San Marino",33642
"Gibraltar",32688.000000000004
"Saint Martin",32077
"British Virgin Islands",31538
"Palau",18058
"Cook Islands",17044
"Anguilla",15899
"Nauru",12780
"Wallis and Futuna",11502
"Tuvalu",11396
"Saint Barthelemy",10994
"Saint Pierre and Miquelon",5840
"Montserrat",4386
"Falkland Islands",3791
"Niue",1935
"Tokelau",1893
"Vatican City",518
