"country","rateWb","yearWb","rateIlo","yearIlo","rateCia","yearCia"
"South Africa",29.2,2020,29.2,2020,28.53,2019
"Djibouti",26.1,2017,26.1,2017,40,2017
"Equatorial Guinea",25,1983,,,8.6,2014
"Botswana",24.9,2020,22.6,2019,20,2013
"Grenada",22.9,2015,22.9,2015,24,2017
"Eswatini",22.7,2016,22.7,2016,28,2014
"Lesotho",22.4,2019,22.4,2019,28.1,2014
"Gabon",20.4,2010,,,28,2015
"Namibia",19.9,2018,19.9,2018,34,2016
"Curacao",19.1,2020,13.4,2018,13,2013
"Libya",19,2012,,,30,2004
"Saint Vincent and the Grenadines",18.8,2008,,,18.8,2008
"Panama",18.6,2020,4.7,2019,6.14,2018
"Georgia",18.5,2020,18.5,2020,11.8,2016
"Armenia",18.3,2019,18.3,2019,18.9,2017
"Montenegro",17.9,2020,15.1,2019,15.82,2019
"Sudan",17.4,2011,,,19.6,2017
"Costa Rica",17.4,2020,17.4,2020,8.1,2017
"North Macedonia",17.2,2020,17.2,2020,,
"Zimbabwe",16.9,2019,16.9,2019,11.3,2014
"Jordan",16.8,2019,16.8,2019,19.1,2019
"Greece",16.3,2020,16.3,2020,17.3,2019
"Bosnia and Herzegovina",15.9,2020,15.7,2019,33.28,2019
"Spain",15.5,2020,15.5,2020,14.13,2019
"Rwanda",15.3,2019,15.3,2019,2.7,2014
"Saint Lucia",15.3,2019,15.3,2019,20,2003
"Tunisia",15.1,2019,15.1,2019,15.5,2017
"Colombia",15,2020,15,2020,10.5,2019
"New Caledonia",14.6,2014,14.6,2014,14.7,2014
"Samoa",14.5,2017,14.5,2017,5.2,2017
"Haiti",14.1,2012,,,40.6,2010
"Brazil",13.7,2020,13.7,2020,11.93,2019
"Algeria",13.6,2017,13.6,2017,11.7,2017
"Sao Tome and Principe",13.6,2012,,,12.2,2017
"Yemen",13.5,2014,13.5,2014,27,2014
"Nauru",13.3,2013,,,23,2011
"Turkey",13.1,2020,13.1,2020,13.68,2019
"Iraq",13,2017,13,2017,16,2012
"Zambia",12.5,2019,12,2018,15,2008
"South Sudan",12.2,2008,,,,
"Afghanistan",11.7,2020,11.2,2017,23.9,2017
"Albania",11.7,2020,11.5,2019,5.83,2019
"French Polynesia",11.7,2007,,,21.8,2012
"Argentina",11.5,2020,9.8,2019,9.84,2019
"Nepal",11.4,2017,11.4,2017,3,2017
"Lebanon",11.3,2019,11.4,2019,9.7,2007
"Chile",11.2,2020,11.2,2020,7.22,2019
"Northern Mariana Islands",11.2,2010,,,11.2,2010
"Honduras",11,2020,5.7,2019,5.6,2017
"Dominica",11,2001,,,23,2000
"Uruguay",10.5,2020,10.4,2020,7.6,2017
"Mauritania",10.3,2017,10.3,2017,10.2,2017
"Gambia",10.2,2018,10.2,2018,,
"Uganda",10.1,2017,9.9,2017,9.4,2014
"Republic of the Congo",10,2012,,,36,2014
"Bahamas",10,2018,10,2018,10.1,2017
"Iran",9.7,2020,10.7,2019,11.8,2017
"Angola",9.6,2014,9.6,2014,6.6,2016
"Canada",9.5,2020,9.5,2020,5.67,2019
"Ukraine",9.5,2020,8.2,2019,8.89,2019
"Laos",9.4,2017,9.4,2017,0.7,2017
"Morocco",9.3,2016,9.3,2016,9.23,2019
"Italy",9.2,2020,9.2,2020,9.88,2019
"American Samoa",9.2,2010,,,29.8,2005
"Belize",9.1,2019,6.6,2017,9,2017
"Greenland",9.1,2015,9.1,2015,9.1,2015
"Uzbekistan",9,2019,9,2019,5,2017
"Serbia",9,2020,9,2020,14.1,2017
"Micronesia",8.9,2014,8.9,2014,16.2,2010
"Aruba",8.9,2011,,,7.7,2016
"Bermuda",8.9,2014,8.9,2014,7,2017
"Syria",8.6,2010,,,50,2017
"Kiribati",8.6,2019,8.6,2019,30.6,2010
"Nigeria",8.5,2019,8.5,2018,16.5,2017
